câpân!  -câpân- ;; -ocâpân-
kikâwînaw  -kâwiy-
kôhtâwînaw  -ohtâwiy-
kôkom! 
macâs  -acâs-
mahkwan  -ahkwan-
mahkwanêyâpiy  mahkwanêyâpiy-
mahkwanikan  mahkwanikan-
maniway  -aniway-
masakay  -asakay-
maskasiy  -askasiy-
maskatay  -askatay-
matay  -atay-
maýakask  -aýakaskw-
mâskikan  -âskikan-
mâskikanis  -âskikanis-
mâwikan  -âwikan-
mêscakâsa  -êscakâs-
mêstakaya  -êstakay-
micâsis  -câsis-
micêhis  -cêhis-
micêstatay  -cêstatay-
micêstatayêyâpiy  -cêstatayêyâpiy-
micicâskay  -cicâskay-
micicâskâs  -cicâskâs-
micihciy  -cihciy-
micihcîs  -cihcîs-
micisk  -cisk-
miciskakisiy  -ciskakisiy-
miciskêyâpiy  -ciskêyâpiy-
micîhcîkom  -cîhcîkom-
micohcôsimis  -cohcôsimis-
micônis  -cônis-
micôskwanis  -côskwanis-
mihcawakâs  -htawakay-
mihcikwan  -hcikwan-
mihcikwanikan  -hcikwanikan-
mihkwâkan  -hkwâkan-
mihkwâkanis  -hkwâkanis-
mihtawakay  -htawakay-
mikitik  -kitikw-
mikohcaskwayêyâpîsa  -kohcaskwayêyâpîs-
mikohtaskway  -kohtaskway-
mikohtaskwayêyâpiy  -kohtaskwayêyâpiy-
mikohtâkan  -kohtâkan-
mikot  -kot-
mikwayaw  -kwayaw-
mikwayawikan  -kwayawikan-
mikwâskonêw  -kwâskonêw-
mikwâskonêwikan  -kwâskonêwikan-
mipwâm  -pwâm-
mipwâmikan  -pwâmikan-
miscikwânis  -scikwânis-
misicis  -sicis-
misit  -sit-
miskan  -skan-
miskanis  -skanis-
miskâhtik  -skâhtikw-
miskâhtikwanikan  -skâhtikwanikan-
miskât  -skât-
miskâtikan  -skâtikan-
miskiwan  -skiwan-
miskiwanikan  -skiwanikan-
miskîsik  -skîsikw-
miskîsikohkâna  -skîsikohkân-
miskîsikos  -skîsikos-
miskîsikwâpitân  miskîsikwâpitân-
miskocâkâs  -skocâkâs-
miskon  -skon-
miskotâkay  -skotâkay-
misôkan  -sôkan-
mispayowak  -spayow-
mispiconis  -spiconis-
mispikay  -spikay-
mispikêkan  -spikêkan-
mispiskwan  -spiskwan-
mispiton  -spiton-
mistikwân  -stikwân-
mistikwânaskatihkway  -stikwânaskatihkway-
mistikwânikan  -stikwânikan-
mitahtahkwan  -tahtahkwan-
mitakay  -takay-
mitakikom  -takikom-
mitakisiya  mitakisiy-
mitapiskohkêw  -tapiskohkêw-
mitasiskitân  -(t)asiskitân-
mitâkay  -tâkay-
mitâpiskan  -tâpiskan-
mitâs  -tâs-
mitâs  -tâs-
mitâsiyân  -(t)âsiyân-
mitêh  -têh-
mitêskan  -(t)êskan-
mitêýaniy  -têýaniy-
mitêýaniyâpiy  -têýaniyâpiy-
mitêýikom  -têýikom-
mitihtihkos  -tihtihkos-
mitihtihkosiw  -tihtihkosiw-
mitihtihkosiy  -tihtihkosiy-
mitihtikon  -tihtikon-
mitihtiman  -tihtiman-
mitihtimanikan  -tihtimanikan-
mitisiy  -tisiy-
mitisiyêyâpiy  -tisiyêyâpiy-
mitiskwêspiy  -(t)iskwêspiy-
mitisowayak  -tisoway-
mitiy  -tiy-
mitîhikan  -tîhikan-
mitîhiy  -tîhiy-
mitîhkôkan  -tîhkôkan-
mitohtôsim  -tohtôsim-
mitokan  -tokan-
mitôn  -tôn-
mitôskwan  -tôskwan-
miyaw  -iyaw-
mîpicikan  mîpicikan-
mîpit  -îpit-
mîpitihkâna  mîpitihkân-
mîtihp  -îtihp-
môsom!  -mosôm-
nacâs  -acâs-
nahkwan  -ahkwan-
nahkwanêyâpiy  -ahkwanêyâpiy-
nahkwanikan  -ahkwanikan-
naniway  -aniway-
nasakay  -asakay-
naskasiy  -askasiy-
naskatay  -askatay-
natay  -atay-
naýakask  -aýakaskw-
nâskikan  -âskikan-
nâwikan  -âwikan-
nêkâ! 
nêscakâsa  -êscakâs-
nêstakaya  -êstakay-
nicawâsimis  -(t)awâsimis-
nicâhkos  -câhkos-
nicâhkosê!  -câhkos-
nicânis  -cânis-
nicâpân  -câpân-
nicâpânis  -câpânis-
nicâsis  -câsis-
nicêhis  -cêhis-
nicêhis  -cêhis-
nicêmisis  -cêmisis
nicêstatay  -cêstatay-
nicêstatayêyâpiy  -cêstatayêyâpiy-
nicicâskay  -cicâskay-
nicicâskâs  -cicâskâs-
nicihciy  -cihciy-
nicihcîs  -cihcîs-
nicisk  -cisk-
niciskakisiy  -ciskakisiy-
niciskêyâpiy  -ciskêyâpiy-
niciwâm  -ciwâm-
niciwâmis  -ciwâmis-
niciwâmiskwêm  -ciwâmiskwêm-
niciwâ!  -ciwâm-
nicîhcâwâw  -cîhcâwâw-
nicîhcîkom  -cîhcîkom-
nicohcôsimis  -cohcôsimis-
nicôcêmisis  -côcêmisis-
nicônis  -cônis-
nicôskwanis  -côskwanis-
nihcawakâs  -htawakay-
nihcikwan  -hcikwan-
nihcikwanikan  -hcikwanikan-
nihkwâkan  -hkwâkan-
nihkwâkanis  -hkwâkanis-
nihtawakay  -htawakay-
nikayâsim  -kayâsim-
nikâwiy  -kâwiy-
nikâwîs  -kâwîs-
nikâ! 
nikêhtê-ayim  -kêhtê-ayim-
nikihci-âniskotâpân  -kihci-âniskotâpân-
nikisêýinîm  -kisêýinîm-
nikitik  -kitikw-
nikocâk  -kocâk-
nikocâsiskwêm  -kocâsiskwêm-
nikohcaskwayêyâpîsa  -kohcaskwayêyâpîs-
nikohtaskway  -kohtaskway-
nikohtaskwayêyâpiy  -kohtaskwayêyâpiy-
nikohtâkan  -kohtâkan-
nikosê!  /-kos-/
nikosim  -kosim-
nikosis  -kosis-
nikot  -kot-
nikwayaw  -kwayaw-
nikwayawikan  -kwayawikan-
nikwâskonêw  -kwâskonêw-
nikwâskonêwikan  -kwâskonêwikan-
nikwêmês  -kwêmês-
nikwêmê!  /-kwêm-/
nimanâcimâkan  nimanâcimâkan--
nimanitôm  -manitôm-
nimâmâ  -mâmâ-
niminôsimis  -minôsimis-
nimis  -mis-
nimisê!  -mis-
nimistikom  -mistikom-
nimiýêsâpiwinân  -miýêsâpiwinân-
nimiýêsâpiwinânis  -miýêsâpiwinânis-
nimosôm  -mosôm-
nimosômipan  -mosômipan-
nimosô! 
nimwâhkohkêw  -mwâhkohkêw-
ninahâhkaniskwêm  -nahâhkaniskwêm-
ninahâhkim  -nahâhkim-
ninahâhkisîm  -nahâhkisîm-
ninâpêm  -nâpêm-
ninipîm  -nipîm-
ninîkânîm  -nîkânîm-
ninîkihik  -nîkihikw-
ninôtokwêm  -nôtokwêm-
nipawâkan  -pawâkan-
nipâpâ  -pâpâ-
nipê-wîci-ispîhcisîmâkan  -pê-wîci-ispîhcisîmâkan-
nipêminak  -pêminak(w)-
nipêpîm  -pêpîm-
nipêyakokosisân  -pêyakokosisân-
nipîhtawâwikanân  -pîhtawâwikanân-
nipwâm  -pwâm-
nipwâmikan  -pwâmikan-
niscikwânis  -scikwânis-
nisêkipatwân  -sêkipatwân-
nisêkitikom  -sêkitikom-
nisicis  -sicis-
nisikos  -sikos-
nisikosê!  -sikos-
nisikwâkan  -sikwâkan-
nisis  -sis-
nisisê!  -sis-
nisit  -sit-
nisîm  -sîm-
nisîmê!  -sîm-
nisîmis  -sîmis-
niskan  -skan-
niskâhtik  -skâhtikw-
niskâhtikwanikan  -skâhtikwanikan-
niskât  -skât
niskâtikan  -skâtikan-
niskiwan  -skiwan-
niskiwanikan  -skiwanikan-
niskîsik  niskîsikw-
niskîsikohkâna  -skîsikohkân-
niskîsikos  niskîsikos-
niskîsikwâpitân  -skîsikwâpitân-
niskocâkâs  -skocâkâs-
niskon  -skon-
niskotâkay  -skotâkay-
nisoy  -soy-
nisôkan  -sôkan-
nisôs  -sôs-
nispayowak  -spayow-
nispiconis  -spiconis-
nispikay  -spikay
nispikêkan  -spikêkan-
nispiskwan  -spiskwan-
nispiton  -spiton-
nistês  -stês-
nistêsê!  -stês-
nistikwân  -stikwân-
nistikwânaskatihkway  -stikwânaskatihkway-
